PM2.5,PM10,NO2,SO2,O3,Temperature,Humidity,Industrial_Proximity,Population_Density,Risk_Score,Disease_Risk
44.75,111.05,54.42,8.75,57.71,24.49,55.16,1,6833.67,72.23,Moderate
29.54,39.32,43.65,24.66,22.87,29.25,57.87,0,5872.15,35.72,Low
27.6,48.32,36.6,10.34,28.53,34.66,46.59,0,18732.19,35.57,Low
27.6,44.14,11.55,5.12,53.0,4.83,78.55,1,11886.9,54.82,Moderate
81.32,193.28,7.49,3.18,39.73,7.2,82.32,0,867.82,67.29,Moderate
52.56,122.47,23.64,8.87,60.59,5.74,57.2,0,19449.2,56.94,Moderate
23.2,35.0,44.32,11.57,8.39,21.54,82.96,0,9364.18,29.8,Low
46.01,60.07,3.29,32.06,45.52,26.82,66.39,0,6881.28,34.07,Low
38.14,76.86,17.07,39.32,56.62,35.13,30.57,0,4976.58,42.72,Low
5.92,9.69,34.89,39.24,42.03,-4.11,29.53,0,23677.3,36.48,Low
14.87,30.84,59.58,5.75,12.74,11.62,65.12,0,23579.93,35.44,Low
39.94,49.6,23.52,4.56,19.0,26.31,57.69,0,2375.55,31.0,Low
76.79,105.46,16.12,6.3,58.17,27.55,46.02,1,6202.8,73.82,Moderate
27.77,58.09,25.23,10.07,29.34,23.0,66.55,1,16329.92,49.42,Low
21.9,32.33,36.67,1.51,24.41,13.75,92.83,1,16925.4,51.21,Moderate
35.01,81.05,4.98,4.22,33.22,18.0,61.07,1,10732.96,50.85,Moderate
20.96,26.75,11.08,30.37,34.94,23.63,53.64,0,14428.49,21.6,Low
26.48,39.19,12.3,14.9,63.72,7.83,49.49,0,17714.45,34.65,Low
32.2,80.45,18.82,6.82,5.1,16.47,42.23,0,23787.48,32.03,Low
14.29,25.2,52.24,1.77,51.52,11.19,72.22,1,18265.18,56.14,Moderate
54.25,114.69,10.23,14.61,69.21,30.02,53.6,0,3201.63,47.13,Low
12.31,17.7,14.3,12.2,58.91,15.86,57.94,0,18087.24,22.67,Low
11.11,22.14,7.24,4.21,86.48,11.93,53.87,0,2159.3,24.43,Low
37.04,79.42,18.96,20.85,30.85,19.83,84.07,1,12811.43,56.2,Moderate
51.68,83.15,20.4,7.15,57.84,32.53,38.7,0,13408.93,45.37,Low
36.43,82.98,21.68,13.4,38.28,24.77,70.28,0,19567.49,34.66,Low
30.01,59.56,103.41,38.93,29.62,36.02,73.05,1,783.19,81.35,Moderate
26.29,44.86,44.06,19.95,5.0,34.49,48.93,1,21931.43,55.46,Moderate
23.35,44.95,24.3,2.64,30.7,17.5,69.09,0,16765.18,28.21,Low
61.87,120.64,36.24,20.01,61.3,26.35,57.45,0,1264.18,56.49,Moderate
40.19,56.88,15.47,5.97,5.69,35.98,72.21,0,4420.74,33.06,Low
24.72,42.6,90.32,17.61,81.95,20.17,45.46,1,1468.18,73.61,Moderate
19.73,32.48,45.46,24.47,48.2,27.4,64.04,0,19265.52,33.25,Low
47.96,82.55,41.2,13.4,17.89,15.98,61.09,0,4687.17,47.44,Low
60.99,133.54,60.91,2.91,44.57,22.74,68.13,0,1617.2,61.9,Moderate
57.7,105.44,76.01,0.83,53.74,22.42,24.27,1,3880.7,83.18,Moderate
17.27,41.83,10.47,28.57,30.22,31.27,49.22,1,14209.15,43.25,Low
26.14,41.35,56.07,35.51,27.52,21.17,68.78,0,12639.42,39.63,Low
23.03,40.08,34.34,5.61,79.48,27.15,86.27,0,6533.31,33.11,Low
28.57,63.51,30.87,0.63,33.2,28.81,75.72,1,23601.91,52.33,Moderate
53.94,103.02,69.77,2.26,37.13,17.11,66.06,1,21442.82,80.69,Moderate
72.58,138.72,11.33,7.46,66.47,20.98,47.29,1,8204.29,75.71,Moderate
41.16,52.24,24.62,24.31,38.54,29.63,64.48,1,12127.01,57.67,Moderate
20.24,34.77,22.15,0.64,55.29,43.38,68.78,1,13162.17,53.0,Moderate
31.72,49.22,33.98,31.46,30.56,12.43,86.71,0,19026.31,40.29,Low
80.73,201.76,35.12,28.67,26.05,30.25,46.72,0,10984.69,71.1,Moderate
34.46,55.17,54.54,30.99,47.62,37.14,54.32,0,13888.53,49.59,Low
26.34,61.88,26.3,3.84,20.38,25.96,90.16,0,10607.86,27.51,Low
27.89,57.98,73.61,25.94,48.14,15.97,57.02,0,19189.11,50.96,Moderate
41.04,67.44,36.76,11.97,21.65,24.48,67.36,0,14120.38,37.81,Low
17.72,33.78,10.28,3.55,47.95,15.33,44.11,0,20780.62,23.54,Low
22.63,51.89,15.81,13.25,64.7,19.97,54.86,1,1816.53,49.29,Low
57.19,134.31,41.11,11.6,5.0,28.85,64.88,0,22655.51,52.23,Moderate
40.31,56.78,35.01,2.25,31.78,24.39,54.29,0,20575.07,36.01,Low
34.69,56.94,33.6,19.26,5.0,26.96,62.72,0,20553.37,33.06,Low
58.92,96.38,80.87,11.09,34.13,13.31,63.83,0,3937.57,67.84,Moderate
19.33,24.26,50.71,8.04,46.72,18.89,61.06,1,6955.09,53.9,Moderate
25.79,51.0,18.48,7.74,33.2,31.13,48.76,1,24516.41,48.12,Low
39.49,91.26,22.65,15.45,5.0,8.25,72.42,0,23781.74,42.14,Low
38.61,65.49,17.69,7.18,57.98,11.74,62.72,0,6050.34,40.45,Low
10.2,22.04,12.45,0.9,10.81,21.94,50.02,1,11106.12,32.72,Low
24.07,48.52,84.64,3.33,56.71,19.83,47.92,0,4320.61,48.46,Low
29.07,49.08,34.8,11.21,25.06,32.69,44.54,0,6934.64,34.45,Low
42.26,58.46,8.82,6.76,22.59,1.05,78.07,0,5025.85,40.31,Low
38.52,81.75,68.95,7.93,40.22,24.18,49.3,1,2482.96,69.5,Moderate
30.88,71.37,14.02,4.02,61.32,38.71,46.35,1,14697.23,57.09,Moderate
5.88,12.29,30.47,4.08,79.11,28.27,45.16,0,6399.25,22.67,Low
31.92,39.04,27.21,17.71,31.8,9.66,30.16,1,24809.89,57.45,Moderate
33.85,50.13,6.3,13.06,13.96,49.28,93.06,0,13128.27,35.28,Low
122.87,158.54,3.55,4.73,46.92,19.53,61.33,1,9297.81,93.97,High
28.44,55.21,44.44,7.66,13.22,0.66,46.72,0,22872.47,44.48,Low
39.62,86.51,58.57,21.52,54.87,33.12,54.84,0,15708.28,53.77,Moderate
64.83,87.11,31.9,3.15,48.87,16.92,41.15,0,3613.43,53.45,Moderate
52.09,119.28,121.07,23.9,67.1,43.71,62.77,1,12696.6,107.54,High
74.35,142.92,15.03,9.7,61.07,32.22,57.73,0,11306.44,59.23,Moderate
10.33,21.67,4.7,7.76,42.79,46.31,76.7,0,19245.74,23.42,Low
15.17,37.36,35.56,2.42,40.62,14.47,49.51,0,17497.55,30.04,Low
21.53,28.18,11.06,67.09,22.25,37.78,65.42,0,9584.39,30.07,Low
8.88,21.05,24.52,16.36,21.86,16.87,60.28,0,12002.24,20.9,Low
34.04,46.42,51.44,0.87,39.17,28.44,47.15,0,13210.31,39.41,Low
16.13,27.6,16.59,13.68,18.46,26.72,65.39,0,10850.29,18.27,Low
80.14,184.87,24.55,28.36,34.64,38.87,58.8,0,3139.17,71.14,Moderate
18.09,43.03,56.72,14.53,30.59,33.1,74.93,0,22683.42,37.12,Low
25.9,48.12,22.16,21.99,51.85,20.35,66.03,0,16977.72,31.53,Low
53.97,106.46,35.56,6.46,39.55,35.89,52.81,0,12008.15,52.95,Moderate
12.19,25.86,38.77,5.61,59.9,24.08,73.33,0,14454.88,26.11,Low
8.36,19.08,22.31,8.51,33.96,31.94,64.34,0,5722.51,19.66,Low
36.75,49.9,22.86,11.82,16.61,27.96,52.2,0,13498.63,30.87,Low
38.58,86.93,25.29,6.62,50.98,22.87,74.2,0,18777.68,38.54,Low
53.0,96.76,15.09,9.5,37.52,11.76,73.01,1,13575.02,66.72,Moderate
45.44,81.15,34.3,3.38,34.6,27.03,46.44,0,12276.3,41.4,Low
